"Timecode","Content","Content_zh"
"00:13:59,997 --> 00:14:05,243","I can't say I recommend this to people who don't already have a fondness for this genre.","我不能說我會推薦給本來就不喜歡這類型的人。"
"00:14:05,243 --> 00:14:13,066","Compared to modern entries in the genre like those from Telltale Games, it may seem a little simple or even boring.","跟 Telltale Games 這類現代同類作品相比，它可能顯得有點簡單，甚至無聊。"
"00:14:13,066 --> 00:14:16,704","Schafer: This is actually just new posts, for new posts today.","Schafer：這其實只是新貼文，今天的新貼文。"
"00:14:16,704 --> 00:14:18,925","Oh God. The guy wants a refund.","天啊 他想要退款"
"00:14:18,925 --> 00:14:22,162","It's like, ah. This is a jerk.","就像，啊，這傢伙真討厭。"
"00:14:22,162 --> 00:14:23,004","I'm just going to say it.","我就直說了。"
"00:14:23,004 --> 00:14:24,270","This is a jerk.","真是混蛋"
"00:14:24,270 --> 00:14:26,514","Thanks for backing, jerk.","謝謝你的贊助，混蛋。"
"00:14:26,514 --> 00:14:32,427","Franzke: You know, it's unrealistic to expect that people will be able to please everybody, obviously.","Franzke：你知道，期望人們能取悅所有人是不切實際的。"
"00:14:32,427 --> 00:14:39,120","Unfortunately very often the people who are the most dissatisfied are also the loudest ones, you know, which can be difficult,","很可惜，最不滿的人往往也是最大聲的人，這可能會很難受，"
"00:14:39,120 --> 00:14:44,394","especially if you're pouring a lot of effort and a lot of work and a lot of your like, like ""soul's"" the wrong word,","尤其是當你投入了大量心力、很多工作，還有很多你的……說「靈魂」不太對，"
"00:14:44,394 --> 00:14:47,604","but like a lot of your personal kind of effort into the game.","但就是你很多個人的努力都放進遊戲裡時。"
"00:14:47,604 --> 00:14:51,099","Like to see somebody come in and like just completely smash it.","看到有人跑進來，然後就把它徹底打爛。"
"00:14:51,099 --> 00:14:54,416","I did the mistake and I should know better after so many years in games.","我犯了錯，在遊戲業這麼多年，我應該更清楚才對。"
"00:14:54,416 --> 00:14:59,367","I think I went in Kotaku where they had an article about the ""Retro Mode"".","我想我是點進了 Kotaku，他們有一篇關於「復古模式」的文章。"
"00:14:59,367 --> 00:15:02,348","And like one of the comments, and you should never do that if you work in games.","然後其中一則留言，你做遊戲的話真的絕對不該那樣。"
"00:15:02,348 --> 00:15:03,331","Never read the comments.","絕對不要看留言。"
"00:15:03,331 --> 00:15:05,580","Actually, generally don't read any internet comments.","其實，一般不看任何網路評論。"
"00:15:05,580 --> 00:15:08,749","I scroll down and somebody was like, this just look shit.","我往下捲，看到有人說，這看起來根本爛透了。"
"00:15:08,749 --> 00:15:14,594","Like this is, you know, here, here's a comparison to a hand painted, hand painted sprites, versus down-res","像是，這裡拿手繪、手繪 sprite 跟降解析度版本比較，"
"00:15:14,594 --> 00:15:15,547","It's like, yes, obviously.","我就想，對啊，當然。"
"00:15:15,547 --> 00:15:23,135","And then backers immediately jumped in ""Well they just put it in as a little add on"" Still the person was not satisfied with that at all.","然後贊助者立刻跳出來說：「他們只是把它當成小附加功能放進去。」但那個人還是完全不滿意。"
"00:15:23,135 --> 00:15:27,999","And then he's like, well, if you were a backer you would see that, you know, they just put in during the weekend as a little side project.","接著他說，如果你是贊助者就會知道，他們只是週末把它當成小支線專案放進去。"
"00:15:27,999 --> 00:15:29,356","I'm not a backer but this is shit.","我不是贊助者，但這就是爛。"
"00:15:29,356 --> 00:15:30,496","I'm not going to buy this.","我不會買這個。"
"00:15:30,500 --> 00:15:32,105","It gets, [throws hands up, exasperated].","就會變成，[沮喪地舉起雙手]。"
"00:15:32,220 --> 00:15:34,400","Having said all that, overall I think people are very happy.","話雖如此，整體來說，我覺得大家都很開心。"
"00:15:34,400 --> 00:15:37,711","I've got a lot of Tweets from people who are super happy with the project.","我收到很多推文，都是對這個專案超滿意的人。"
"00:15:37,711 --> 00:15:40,673","On the forums people are very happy, you know.","在論壇上人們都很高興"
"00:15:40,673 --> 00:15:44,327","We saw someplace where some people like really, really enjoying the game.","我們看到有些地方，有些人真的非常非常享受這款遊戲。"
"00:15:44,327 --> 00:15:50,950","And like, you know, it's good to see super-positive reactions of somebody just like laughing about all the jokes in the game.","看到有人對遊戲裡所有笑話都笑得很開心，這種超正面的反應很棒。"
"00:15:50,950 --> 00:15:53,290","And just generally like finding the game very beautiful and stuff like that.","整體來說也覺得遊戲很漂亮之類的。"
"00:15:53,290 --> 00:15:54,110","So it's good.","所以這很好。"
"00:15:58,360 --> 00:15:59,240","Web Streamer: Fuck yeah!","Web Streamer：太爽了！"
"00:16:00,720 --> 00:16:02,720","Web Streamer: I don't know! Which one! What do I pick!","Web Streamer：我不知道！哪一個！我要選什麼？"
"00:16:05,280 --> 00:16:06,160","Oohh.","喔。"
"00:16:07,620 --> 00:16:09,300","Shay: This must be where Marek sleeps.","Shay：這一定是 Marek 睡覺的地方。"
"00:16:09,300 --> 00:16:13,685","Web Streamer: So he keeps the costume on while he sleeps.","Web Streamer：所以他睡覺時也穿著那套服裝。"
"00:16:14,597 --> 00:16:15,457","That's funny.","真有趣"
"00:16:15,820 --> 00:16:18,360","Man, this is a genius game, genius story.","天啊，這遊戲太天才了，故事也太天才了。"
"00:16:22,852 --> 00:16:28,194","Schafer: I'm super happy that no one seems to have guessed the big spoiler at the end of it.","Schafer：我超開心，似乎沒有人猜到最後那個大劇透。"
"00:16:28,194 --> 00:16:29,814","I really thought that was going to get out.","我真的以為那會被傳出去。"
"00:16:29,900 --> 00:16:34,120","And actually long ago on the forums, one guy guessed it.","其實很久以前在論壇上 有個人猜到了"
"00:16:34,611 --> 00:16:36,397","And no one followed up on it.","但沒有人接著討論。"
"00:16:36,397 --> 00:16:40,006","Like no one, he just said his little thing, hey, what if this is the case?","就沒有人，他只是說了自己的小想法，嘿，如果是這樣呢？"
"00:16:40,006 --> 00:16:41,584","And no one answered him.","沒人回答他"
"00:16:41,584 --> 00:16:43,178","I was like, oh man.","我就想，天啊。"
"00:16:43,178 --> 00:16:45,109","I feel, oh God.","我覺得，噢天啊。"
"00:16:45,109 --> 00:16:49,759","You know, I hate that guy for guessing it, but I'm really, it's worth something.","你知道，我討厭那傢伙猜到了，但那真的很有價值。"
"00:16:49,759 --> 00:16:51,459","We should send him some chocolate.","我們應該給他送點巧克力"
"00:16:52,828 --> 00:16:58,107","But everyone else has just had the exact like experience that I was hoping for, which is that they were really like, oh my God!","但其他每個人都得到了我希望他們有的那種體驗，就是他們真的會說，天啊！"
"00:16:58,107 --> 00:16:59,487","I didn't see that coming, that's crazy.","我沒想到會這樣 太瘋狂了"
"00:17:00,700 --> 00:17:02,537","Web Streamer: It's Shay!","Web Streamer：是 Shay！"
"00:17:02,677 --> 00:17:04,777","Shay was controlling Mog Chothra.","Shay 一直在控制 Mog Chothra。"
"00:17:08,210 --> 00:17:11,970","Web Streamer: Uhhh, Shay?","Web Streamer：呃，Shay？"
"00:17:14,545 --> 00:17:15,625","Web Streamer: What the heck?","Web Streamer：怎麼回事？"
"00:17:19,058 --> 00:17:19,898","What the heck?","怎麼回事？"
"00:17:21,708 --> 00:17:22,868","That's Shay!","那是 Shay！"
"00:17:25,848 --> 00:17:28,512","Schafer: But they all seemed to really be enjoying the ending.","Schafer：但他們似乎都很喜歡結局"
"00:17:28,512 --> 00:17:30,580","And so I'm really happy with that.","所以我真的很高興"
"00:17:30,580 --> 00:17:36,288","And I'm really happy with people's response to like the story, the characters.","而且我很開心大家對故事、角色的反應。"
"00:17:36,288 --> 00:17:46,884","And a lot of people, I think, will actually appreciate the difficulty level in the game once we get out of the most hardcore part of the audience.","而且我覺得，等我們跳脫最核心硬派的那群觀眾後，很多人其實會欣賞遊戲的難度。"
"00:17:46,884 --> 00:17:55,302","I think they'll like that, that it flows more as opposed to hitting a series of really, really hard stops, for most people.","我覺得大多數人會喜歡它更順暢，而不是碰上一連串非常非常硬的卡關點。"
"00:17:59,275 --> 00:18:01,332","Schafer: I mean, you can tell they already anticipated that.","Schafer：我是說，你看得出來他們其實早就預料到了。"
"00:18:01,332 --> 00:18:09,893","After play-testing the first part, I was like, I think this is a little easy, but I think rather than just throwing a monkey wrench, Monkey Island joke,","試玩測試第一部分之後，我就想，這好像有點簡單，但與其硬塞一個《Monkey Island》式的難題笑話，"
"00:18:09,893 --> 00:18:20,357","in there, I'm really focusing on Act Two and making Act Two a little more, instead of things being one step, having them be a little more complex.","我更專注在第二幕，讓第二幕多一點東西，不只是一步就解決，而是稍微複雜一點。"
"00:18:21,411 --> 00:18:23,631","So I'm way ahead of them, way ahead of them on that.","所以這方面我早就走在他們前面了，早很多。"
"00:18:25,274 --> 00:18:27,363","Petty: You know, I think, yeah, it's interesting.","Petty：你知道，我覺得，對，這很有趣。"
"00:18:27,363 --> 00:18:33,320","Like the, I don't, I don't think I read anything that I felt was unfair and it all seemed pretty balanced.","像是，我不覺得我讀到任何讓我覺得不公平的東西，而且整體看起來都滿平衡的。"
"00:18:33,320 --> 00:18:39,653","There were, I think, you know, there's some comments about length, maybe a couple of them.","我想有一些人提到長度，也許有幾則。"
"00:18:39,653 --> 00:18:43,787","And that's kind of difficult, because you know, I mean, this was the same on Stacking.","那有點難處理，因為你知道，我是說，《Stacking》也是一樣。"
"00:18:43,787 --> 00:18:50,492","You know, you can, you can burn through an adventure game and, and that can really shorten your play experience.","你知道，你可以很快衝完一款冒險遊戲，而那真的會縮短你的遊玩體驗。"
"00:18:50,492 --> 00:18:54,503","But I don't know if that's the best way to evaluate that particular game.","但我不知道這是不是評價那款遊戲的最佳方式。"
"00:18:54,503 --> 00:18:58,263","You know, it's not a game that has a mechanic that just like is endlessly playable.","你知道，它不是那種有一套可以無止境重複玩的機制的遊戲。"
"00:18:58,263 --> 00:19:04,363","So it's a little, I don't know, you know, it's just, it's just something that happens with adventure games that, I've seen that come up.","所以這有點，我不知道，這就是冒險遊戲會遇到的事，我也看過這種說法。"
"00:19:04,363 --> 00:19:09,602","I don't necessarily disagree with it, but I guess I don't know what to say about it, you know.","我不一定不同意 但我想我不知道該怎麼說"
"00:19:09,602 --> 00:19:15,905","But I think, you know, in some other stuff is stuff that we discussed early on that I've seen like, you know, the lack of a verb coin or a verb page.","但我想，有些其他東西是我們早期討論過的，像是缺少動詞圓盤或動詞頁面。"
"00:19:15,905 --> 00:19:20,529","And I think that's just a choice Tim, and I think the correct choice Tim made early on, you know.","我覺得那只是 Tim 的選擇，而且我覺得 Tim 一開始做的選擇是正確的。"
"00:19:20,529 --> 00:19:27,152","I don't think there's probably people played Machinarium that also was like, this would be better if I could have a look and examine and verb link.","我覺得大概不會有人玩了《Machinarium》之後也說，如果我能有「看」、「檢查」和動詞連結會更好。"
"00:19:27,152 --> 00:19:31,292","But I don't really feel like the experience needed it in any way and I don't really feel like Broken Age needs it in anyway.","但我真的不覺得那種體驗需要它，也不覺得《Broken Age》需要它。"
"00:19:31,292 --> 00:19:35,574","And I don't really feel like that's where we puzzle depth, mechanical depth anyways.","而且我也不覺得那就是我們該增加謎題深度、機制深度的地方。"
"00:19:35,574 --> 00:19:42,485","So you know, I mean, I wouldn't oppose it if someone really, really, like we had started the game and we really, really wanted to take that approach.","所以你知道，我是說，如果有人真的很想，如果我們一開始就很想採取那種做法，我也不會反對。"
"00:19:42,485 --> 00:19:49,919","But I just like the idea of you know, I think Tim's initial vision for the game would be like, well, what if adventure games just kept going?","但我就是喜歡那個想法，我覺得 Tim 對這款遊戲最初的願景像是：如果冒險遊戲就只是繼續往前走呢？"
"00:19:49,919 --> 00:19:51,512","And we just were keeping it working.","我們就是讓它繼續運作。"
"00:19:51,512 --> 00:19:53,587","We wouldn't keep making the exact same thing.","我們不會一直做同樣的事"
"00:19:53,587 --> 00:19:57,883","We'd try and mess with the formula and advance things and I think that's what we tried to do with visuals.","我們會試著改變公式、推進一些東西，我覺得我們在視覺上就是這麼做的。"
"00:19:57,883 --> 00:19:59,987","We didn't want to make retro visuals, right.","我們不想做復古視覺，對吧。"
"00:19:59,987 --> 00:20:07,227","We wanted to make visuals that were 2D and charming, but also took advantage of modern methodologies and technologies and resolutions.","我們想做出 2D 又迷人的視覺，同時也運用現代的方法、技術和解析度。"
"00:20:07,227 --> 00:20:11,067","And I think the approach to the game play is consistent with that.","我覺得遊戲玩法的方向也跟這點一致。"
"00:20:12,595 --> 00:20:13,613","And this is a choice.","而這是一個選擇。"
"00:20:13,613 --> 00:20:21,294","You know, and some people will want that exact Monkey Island moment and some people are like, thank God, the puzzles aren't that confusing, you know.","你知道，有些人會想要那種原汁原味的《Monkey Island》時刻，有些人則會說，謝天謝地，謎題沒那麼讓人困惑。"
"00:20:21,294 --> 00:20:23,709","It's hard, it's hard to get the right.","要拿捏正確很難，真的很難。"
"00:20:23,709 --> 00:20:31,877","Petty: So what I would like to do is next week, since Bagel's out for two weeks and I wanted him to come out at this time so we could kick off Act Two.","Petty：所以我想做的是下週，因為 Bagel 要離開兩週，而我希望他這時候先出來，這樣我們就能啟動第二幕。"
"00:20:31,877 --> 00:20:35,646","So I would like to kind of, at the very least, we'll see who has time.","所以我想至少先看看誰有時間。"
"00:20:35,646 --> 00:20:41,650","At the very least Bagel and Levi and myself to start concept jamming next week on early Act Two stuff.","至少 Bagel、Levi 和我，下週要開始針對第二幕早期內容做概念發想。"
"00:20:41,650 --> 00:20:46,701","And Tim hasn't delivered the final design or dialogue yet, but I already know some of high level stuff","Tim 還沒交出最終設計或對話，但我已經知道一些高層次的內容，"
"00:20:46,701 --> 00:20:51,660","and then hopefully we can get him to kind of, I can kind of like mention all that and he can kind of correct me","希望我們可以讓他來，我可以先提一下那些東西，然後他可以修正我，"
"00:20:51,660 --> 00:20:53,528","where he's changed things and just get us going.","告訴我們他改了哪些地方，讓我們開始動起來。"
"00:20:53,528 --> 00:20:59,948","So there's definitely a new, at least one new area that has no presence at all in the current act that we have to design.","所以至少確定有一個全新的區域，在目前這一幕裡完全不存在，是我們必須設計的。"
"00:20:59,948 --> 00:21:04,638","And we had some very early stuff on it from before, but we haven't thought about it in 18 months.","我們很久以前有一些非常早期的東西，但已經 18 個月沒去想它了。"
"00:21:04,638 --> 00:21:07,042","So we'll probably start there.","我們可能會從那裡開始"
"00:21:07,042 --> 00:21:10,946","Stapley: So are these the only new, this is like pretty much all we have to worry, really worry about, right?","Stapley：所以這些就是唯一的新東西，差不多就是我們真正需要擔心的全部，對吧？"
"00:21:10,946 --> 00:21:12,860","I mean, those only new things?","我是說，只有這些新東西嗎？"
"00:21:12,860 --> 00:21:15,742","Petty: Well, this is the new stuff we know about for sure.","Petty：嗯，這是我們目前確定知道的新東西。"
"00:21:15,742 --> 00:21:17,582","So I thought we'd start there. OK.","所以我想我們就從那裡開始。好。"
"00:21:17,582 --> 00:21:21,912","So the thing that Tim, like he's going to be here after lunch, we can him some more questions","所以 Tim 午餐後會過來，我們可以再問他更多問題，"
"00:21:21,912 --> 00:21:27,374","but the thing that we know for sure is that we need a monster lands area.","但我們確定知道的是，我們需要一個怪物降落區域。"
"00:21:27,374 --> 00:21:33,096","It's probably also a good chance for us to think about where we want to go with, you know, as we're developing him,","這大概也是個好機會，讓我們思考在發展 Marek 時想把他帶往哪個方向，"
"00:21:33,096 --> 00:21:35,472","if we want to go anyplace different with Marek.","看看我們想不想讓 Marek 走向不同的地方。"
"00:21:35,472 --> 00:21:37,065","Here's another concept that we can think about.","這是我們能想到的另一個概念"
"00:21:37,065 --> 00:21:40,497","Is we talked about, OK, what Alex's is.","我們談過，Alex 那個到底是什麼。"
"00:21:40,497 --> 00:21:44,516","And originally Tim kept saying, well, it's, oh, this'll be a copy of Mog Chothra to save time.","一開始 Tim 一直說，嗯，這會是 Mog Chothra 的複製版，好節省時間。"
"00:21:44,516 --> 00:21:46,606","And I was saying, well, that's not really going to save us much time.","我就說，嗯，那其實不會幫我們省太多時間。"
"00:21:46,606 --> 00:21:50,662","I mean, it'll save a week or so of production time, but...","我是說，可能會省下一週左右的製作時間，但……"
"00:21:50,662 --> 00:21:52,362","Stapley: It's got to be like older version.","Stapley：它應該要像比較舊的版本。"
"00:21:52,362 --> 00:21:53,426","Petty: Right. Like it's been buried.","Petty：對。像是它被埋起來了。"
"00:21:53,426 --> 00:21:55,233","It's not going to look the same.","它看起來不會一樣。"
"00:21:55,233 --> 00:21:57,180","I'd love to see it like a previous generation.","我很想看到它像是前一代的版本。"
"00:21:57,180 --> 00:22:00,916","Because when we were starting to draw like, I don't know, maybe, like some of these older ones or whatever,","因為我們開始畫的時候，我不知道，也許像是這些比較舊的版本之類的，"
"00:22:00,916 --> 00:22:05,187","like remember we had all those ideas like, oh, it's got diamond-shape eyes instead of hex eyes.","記得我們有那些想法嗎？像是，喔，它的眼睛是菱形，不是六角形。"
"00:22:05,187 --> 00:22:08,361","Ryken: Yeah, just like changes with times.","Ryken：對，就像會隨著時代改變。"
"00:22:08,361 --> 00:22:12,360","400 years, like, oh yeah, but then he came around to hexes again.","四百年後，好像又流行回六角形了。"
"00:22:12,360 --> 00:22:14,121","And then it went away for another 100 years.","然後又消失了一百年。"
"00:22:14,121 --> 00:22:15,504","Petty: We added two sides to our windows.","Petty：我們幫窗戶多加了兩條邊。"
"00:22:15,504 --> 00:22:16,707","Stapley: That's awesome. That's always the best.","Stapley：太棒了 這總是最好的。"
"00:22:16,707 --> 00:22:21,650","Like in Star Wars, you're like, well, that's R2D2, but it's a fucking red R2D2 and it's like different.","就像《Star Wars》裡，你會說，嗯，那是 R2D2，但他媽的是紅色的 R2D2，而且就是不一樣。"
"00:22:21,650 --> 00:22:23,836","Awesome. I always love that.","太棒了 我一直很喜歡"
"00:22:23,836 --> 00:22:27,773","Petty: Well plus it would be cool, too, like this one doesn't have, it's been buried for however long","Petty：而且這樣也會很酷，像是這個沒有，它已經被埋了不知道多久，"
"00:22:27,773 --> 00:22:30,779","so it doesn't have to look as purely organic, you know.","所以它不必看起來像純有機的，你知道的。"
"00:22:30,779 --> 00:22:34,011","Like we're not, we're no longer trying to make people believe it's just a monster.","像是我們不再試著讓大家相信它只是個怪物。"
"00:22:34,011 --> 00:22:38,479","So being able to see some combination of the mechanical and the monster...","所以能看到機械和怪物的結合"
"00:22:38,479 --> 00:22:42,474","Ryken: Yeah, like the outer hull is just like ripped away and most of the parts.","Ryken：對，像外殼被撕開，大部分零件也露出來了。"
"00:22:42,474 --> 00:22:45,859","Stapley: But it'll still be the same like rig kind of set up, right?","Stapley：但 rig 的設定還是差不多，對吧？"
"00:22:45,859 --> 00:22:48,155","Petty: I mean, it could be whatever we want.","Petty：我是說，它可以變成任何我們想要的樣子。"
"00:22:48,155 --> 00:22:49,790","Bog Chothra.","Bog Chothra。"
"00:22:49,790 --> 00:22:52,121","Stapley: Bog Chothra?","Stapley：Bog Chothra？"
"00:22:52,121 --> 00:22:53,147","Bog, I like that one.","Bog，我喜歡這個。"
"00:22:53,147 --> 00:22:54,464","I like Bog.","我喜歡 Bog。"
"00:22:54,464 --> 00:22:55,883","Ryken: Just Bob.","Ryken：就叫 Bob。"
"00:22:55,883 --> 00:22:58,938","Stapley: Bob Chothra? Awesome.","Stapley：Bob Chothra？太棒了。"
"00:22:58,938 --> 00:23:00,338","That would be fucking sweet.","那一定超讚。"
"00:23:03,217 --> 00:23:05,559","Stapley: All right. Should we call Scott and get pumped?","Stapley：好吧，要不要打給 Scott，讓大家嗨起來？"
"00:23:05,559 --> 00:23:12,593","Stapley: Yeah! Look, whoo!","Stapley：耶！看啊，嗚！"
"00:23:12,593 --> 00:23:14,244","Hey, bro, get us pumped up!","嘿，兄弟，讓我們嗨起來！"
"00:23:14,244 --> 00:23:16,881","Get us pumped up!","讓我們嗨起來！"
"00:23:16,881 --> 00:23:19,600","We're all like, boo, drawing is stupid.","我們都在那邊，噓，畫畫好蠢。"
"00:23:19,600 --> 00:23:20,827","He still in bed?","他還在床上嗎？"
"00:23:20,827 --> 00:23:22,276","Campbell: Chilling on the couch.","Campbell：在沙發上放鬆。"
"00:23:22,276 --> 00:23:25,053","Stapley: Oh, man.","Stapley：天啊"
"00:23:25,053 --> 00:23:28,052","Campbell: I was just, I was just watching Triplets of Belleville.","Campbell：我剛剛在看《佳麗村三姊妹》。"
"00:23:28,052 --> 00:23:30,055","Stapley: Oh, sweet, dude.","Stapley：喔，讚啦，老兄。"
"00:23:30,055 --> 00:23:31,386","Campbell: What are you guys, what are you guys doing?","Campbell：你們在幹什麼？"
"00:23:31,386 --> 00:23:32,479","Stapley: We're doing an art jam, dude.","Stapley：我們在做美術 jam，老兄。"
"00:23:32,479 --> 00:23:37,321","We're doing an art jam and nobody's pumped up and like, like nobody fucking is as psyched as you.","我們在做美術 jam，可是沒人嗨得起來，沒人像你那麼有熱情。"
"00:23:37,321 --> 00:23:38,981","You got to get us psyched.","你得讓我們嗨起來。"
"00:23:38,981 --> 00:23:43,226","You know, when you and Peter are here, you guys are like, ooh, ooh, ooh!","你知道，你和 Peter 在的時候，你們都會喔、喔、喔！"
"00:23:43,226 --> 00:23:45,040","So come on, bro, do it, go for it.","所以來吧，兄弟，做吧，衝了。"
"00:23:45,040 --> 00:23:46,141","Ryken: We need some art cheerleading.","Ryken：我們需要一點美術啦啦隊。"
"00:23:46,141 --> 00:23:47,320","Campbell: Get psyched, man.","Campbell：嗨起來，老兄。"
"00:23:47,320 --> 00:23:48,810","What are you guys working on? Tell me about it.","你們在做什麼？跟我說說。"
"00:23:48,810 --> 00:23:50,348","Stapley: All right, check it out. Rice: What are you doing?","Stapley：好，來看這個。Rice：你在幹嘛？"
"00:23:50,348 --> 00:23:52,916","Stapley: Monster lands. Uh oh, look who it is.","Stapley：怪物降落。哎呀，看看是誰。"
"00:23:52,916 --> 00:23:57,000","What, tall man. Petty: Scott!","什麼，高個子。Petty：Scott！"
"00:23:57,000 --> 00:24:03,471","Stapley: Yeah, we're all getting pumped. OK, cool.","Stapley：對，我們都嗨起來了。好，酷。"
"00:24:03,471 --> 00:24:04,702","This is one monster, man.","這是個怪物"
"00:24:04,702 --> 00:24:06,605","Schafer: Who are you talking to?","Schafer：你在跟誰說話？"
"00:24:06,605 --> 00:24:08,489","Hi! Scott Campbell!","嗨！Scott Campbell！"
"00:24:08,489 --> 00:24:10,068","Hi! Everybody's at the art jam.","嗨！大家都在美術 jam。"
"00:24:10,068 --> 00:24:15,447","Stapley: I'm excited to hear about what we're going to do, because, 'cause I know that we all like, this is like,","Stapley：我很期待聽聽我們接下來要做什麼，因為我知道大家都覺得，這就像，"
"00:24:15,447 --> 00:24:19,602","not really trial and error but I got pretty much trial and error.","不算完全靠試誤，但我幾乎就是靠試誤。"
"00:24:19,602 --> 00:24:22,144","You get closer to the end, everything started working really smoothly.","越接近尾聲，一切就開始運作得很順。"
"00:24:22,144 --> 00:24:28,614","So you know, it's going to be way better for sure, you know, 'cause we learned so much.","所以肯定會好很多，因為我們學到很多。"
"00:24:28,614 --> 00:24:34,111","But I'm, I'm actually excited to see how we take all the things that we learned, trial and error-wise","但我其實很期待看到，我們會怎麼運用試誤學到的那些東西，"
"00:24:34,111 --> 00:24:40,878","and try to get it, you know, see what happens with the next, how organized we are, what we learned.","看看接下來會怎樣，我們會變得多有組織，學到了什麼。"
"00:24:41,476 --> 00:24:43,764","Schafer: OK.","Schafer：好"
"00:24:43,764 --> 00:24:44,990","Stapley: Those are the new things.","Stapley：那些就是新的東西。"
"00:24:44,990 --> 00:24:49,720","Schafer: Monster lands and the gate Stapley: And there's only the pollution inside like the kingdom.","Schafer：怪物降落，還有城門。Stapley：而且裡面只有王國那邊的污染。"
"00:24:50,224 --> 00:24:52,485","Schafer: Don't film his armpits.","Schafer：不要拍他的腋下。"
"00:24:52,485 --> 00:24:54,625","Stapley: Oh God, are they like, oh God!","Stapley：天啊，是不是，天啊！"
"00:24:54,625 --> 00:24:56,265","Fuck. It's horrible.","操 太可怕了"
"00:24:59,792 --> 00:25:00,772","Hey, bro.","嘿，兄弟。"
"00:25:02,145 --> 00:25:04,385","Schafer: Aren't you glad you're not here right now?","Schafer：你現在不在這裡，是不是很慶幸？"
"00:25:04,385 --> 00:25:12,020","It would be nice to get the main characters some different outfits, just to make the game feel... Petty: So would she put on a space suit?","讓主角們換幾套不同的衣服應該不錯，讓遊戲感覺……Petty：所以她會穿太空裝嗎？"
"00:25:12,020 --> 00:25:18,146","Schafer: I see her with the radiation suit and I don't know necessarily if he, I can't think of, I haven't thought of a puzzle.","Schafer：我想像她穿著防輻射衣，但我不確定他是不是，我想不到，我還沒想到相關謎題。"
"00:25:18,146 --> 00:25:18,746","What?","什麼？"
"00:25:18,746 --> 00:25:19,986","Stapley: He could be in a cake dress.","Stapley：他可能穿著蛋糕裙"
"00:25:20,800 --> 00:25:23,862","Petty: We should do a transgender thing where he starts dressing like a girl, 'cause he gets the maiden,","Petty：我們可以做個跨性別的橋段，讓他開始穿得像女生，因為他拿到那些少女、"
"00:25:23,862 --> 00:25:26,898","leftover maiden's outfits and she dresses like a boy.","剩下的少女服裝，而她穿得像男生。"
"00:25:27,198 --> 00:25:33,012","Schafer: I mean, he could put a druid cloak or he could, but he could put on a preener outfit.","Schafer：我是說，他可以穿德魯伊斗篷，或者也可以穿 preener 的服裝。"
"00:25:33,020 --> 00:25:36,180","remember we have those artworks, you had him masquerade as a preener for a while.","記得我們有那些圖嗎？你讓他假扮成 preener 一陣子。"
"00:25:36,800 --> 00:25:38,588","He could possibly have to do that.","他或許可以那樣做。"
"00:25:38,588 --> 00:25:41,288","I just think it would be more fun for the player to have them look really different.","我只是覺得，讓他們看起來真的很不一樣，對玩家會比較有趣。"
"00:25:41,436 --> 00:25:43,264","Petty: He needs like a traveling cloak or something.","Petty：他需要像旅行斗篷之類的東西。"
"00:25:43,264 --> 00:25:45,577","Piece it together. Yeah.","把它拼湊起來。對。"
"00:25:46,320 --> 00:26:08,115","[Music] Franzke: Other than doing some concept artwork,","[音樂] Franzke：除了做一些概念美術之外，"
"00:26:08,115 --> 00:26:14,553","nobody has to get started working on the second act anyways, so a lot of us are still working on bug fixes for this release.","反正沒有人需要開始做第二幕，所以我們很多人還在替這次發行修 bug。"
"00:26:14,553 --> 00:26:18,366","And it's, you know, it's incremental update to the backer release.","而且這是給贊助者版本的增量更新。"
"00:26:18,366 --> 00:26:23,674","So you know, I'm really optimistic that this is all like minor fixes to be put in.","我真的很樂觀 這就像一些小修正"
"00:26:23,674 --> 00:26:27,435","But we're pretty solid, solid release.","但我們這次發行版算滿穩的。"
"00:26:27,435 --> 00:26:36,293","Peck : We are investigating an issue with the track pad on Linux for laptops with track pads.","Peck：我們正在調查 Linux 筆電觸控板的問題。"
"00:26:36,293 --> 00:26:38,181","There's a little issue there.","有一點小問題"
"00:26:38,181 --> 00:26:40,255","A little oversensitive, you might say.","可以說是有點太敏感。"
"00:26:40,255 --> 00:26:42,649","Franzke: You make a change and like, oh, it works on Windows and then you go into Linux.","Franzke：你改了一個東西，想說喔，在 Windows 上可以，然後你進 Linux。"
"00:26:42,649 --> 00:26:44,834","Aaah! Gosh, it's broken.","啊！天啊，壞掉了。"
"00:26:44,834 --> 00:26:46,115","What the hell is going on?","怎麼回事？"
"00:26:46,115 --> 00:26:52,020","Franzke: It was good to a have Beta release for sure, to kind of find a lot of issues and all the things we ran into,","Franzke：有 Beta 版真的很好，可以找出很多問題，還有我們遇到的各種狀況，"
"00:26:52,020 --> 00:26:54,797","we were not unprepared for, but we didn't expect.","不是說我們毫無準備，但確實沒預料到。"
"00:26:54,797 --> 00:26:58,982","Like a lot of Window compatibility issue than we expected, for example.","例如 Windows 相容性問題比我們預期的多很多。"
"00:26:58,982 --> 00:27:02,978","And you know, that's why I have those guys here, like we had a lot of issues with compatibility,","所以這就是我讓他們在這裡的原因，因為我們遇到很多相容性問題，"
